鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
安南區,房地(土地+建物),臺南市安南區城西街二段１０８巷２１號,79.44,都市：其他:低密度住宅區,,,1090721,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100512,154.7,5,2,4,有,無,8200000,53006,,0.0,0,,RPUNMLSJRHGGFBD58DA,151.5,3.2,0.0,無,
安南區,房地(土地+建物),臺南市安南區城西街二段１０８巷２５號,76.84,都市：其他:低密度住宅區,,,1100507,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100512,154.7,5,2,4,有,無,8200000,53006,,0.0,0,,RPVNMLSJRHGGFBD68DA,151.5,3.2,0.0,無,
安南區,房地(土地+建物),臺南市安南區城西街二段１０８巷３９號,74.57,都市：其他:低密度住宅區,,,1090804,土地1建物1車位0,全,三層,透天厝,住宅、停車空間,鋼筋混凝土造,1100512,154.15,5,2,4,有,無,8200000,53195,,0.0,0,,RPWNMLSJRHGGFBD78DA,150.83,3.32,0.0,無,
安南區,房地(土地+建物),臺南市安南區城西街二段１０８巷１號,114.68,都市：其他:低密度住宅區,,,1100615,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100512,201.11,6,2,4,有,無,10780000,53603,,0.0,0,,RPXNMLSJRHGGFBD88DA,197.12,3.99,0.0,無,
安南區,房地(土地+建物),臺南市安南區海環街２０５巷３２號,114.48,都市：其他:住宅區,,,1000824,土地4建物1車位0,全,二層,透天厝,住商用,加強磚造,0691202,93.08,4,1,2,有,無,4000000,42974,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLTJRHGGFBD38DA,93.08,0.0,0.0,無,009
安南區,房地(土地+建物),臺南市安南區海環街２０５巷３７號,88.05,都市：其他:住宅區,,,1100901,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0691202,87.34,3,2,2,有,無,4200000,48088,,0.0,0,,RPQNMLQJRHGGFBD97DA,87.34,0.0,0.0,無,010
安南區,房地(土地+建物)+車位,臺南市安南區樂活一街６號八樓,18.7,都市：其他:住宅區,,,1100821,土地1建物1車位1,八層,十九層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100526,188.29000000000002,3,2,2,有,有,11990000,63678,坡道平面,23.34,0,,RPVNMLTJRHGGFBD78DA,91.71,13.91,0.0,有,011
東區,房地(土地+建物),臺南市東區裕農路３８９巷３弄８號,30.75,都市：其他:第五種住宅區,,,1100829,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731011,123.50999999999999,3,2,2,有,有,6900000,55866,,0.0,0,陽台外推；其他增建；,RPQNMLTLQHGGFCD48DA,81.85,14.7,0.0,無,012
東區,房地(土地+建物),臺南市東區中華東路一段８８號十四樓之６,11.47,都市：其他:第三種商業區,,,1100814,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890822,118.06,3,1,2,有,有,7000000,59292,,0.0,0,,RPSNMLRKQHGGFCD38DA,86.99,7.73,0.0,有,
東區,房地(土地+建物),臺南市東區榮譽街１２３巷５號,8.39,都市：其他:第五種住宅區,,,1100902,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880114,40.66,1,1,1,有,有,2780000,68372,,0.0,0,,RPQNMLRJRHGGFCD18DA,28.18,3.75,0.0,有,
東區,土地,東光段141-2地號,9.0,都市：其他:細部計畫道路用地,,,1100827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,843570,93730,,0.0,0,包含公共設施保留地用地；,RPPNMLSJRHGGFCD18DA,0.0,0.0,0.0,無,
南區,建物,臺南市南區惠南街１１０號地下層,0.0,,,,1100816,土地0建物1車位0,地下層,五層,華廈(10層含以下有電梯),自用倉庫,鋼筋混凝土造,0780204,3.36,0,0,0,無,有,350000,104167,,0.0,0,,RPSNMLSJRHGGFCD48DA,3.36,0.0,0.0,有,
南區,房地(土地+建物),臺南市南區惠南街１１０號二樓之２,7.56,都市：其他:住宅區,,,1100816,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780204,33.96,1,0,1,有,無,2500000,73616,,0.0,0,,RPUNMLSJRHGGFCD68DA,22.61,3.81,0.0,有,013
南區,土地,鹽埕段193-17地號,125.0,都市：其他:住宅區,,,1100724,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6800000,54400,,0.0,0,,RPQOMLSJRHGGFCD38DA,0.0,0.0,0.0,無,
東區,房地(土地+建物)+車位,臺南市東區崇德三街１０號九樓,13.33,都市：其他:第五種住宅區,,,1100828,土地1建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860508,155.75,3,2,2,有,有,9500000,60995,坡道平面,0.0,0,陽台外推；,RPXOMLSJRHGGFCD09DA,82.67,13.3,0.0,有,
東區,土地,虎尾寮段500-14地號,65.0,都市：其他:細部計畫道路用地,,,1100906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1528800,23520,,0.0,0,包含公共設施保留地用地；,RPSNMLTJRHGGFCD58DA,0.0,0.0,0.0,無,
鹽水區,房地(土地+建物),臺南市鹽水區歡雅里４０之２號,61.39,,鄉村區,乙種建築用地,1100828,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0700820,138.75,4,2,2,有,無,3300000,23784,,0.0,0,,RPSNMLTJRHGGFDD68DA,125.37,13.38,0.0,無,
新營區,土地,周武段55地號,442.94,都市：其他:都市計畫道路用地,,,1100521,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,605945,1368,,0.0,0,包含公共設施保留地用地；,RPQNMLNJRHGGFDD87DA,0.0,0.0,0.0,無,014
白河區,土地,玉豐段499地號,1834.0,,特定農業區,農牧用地,1100831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1100000,600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLLMQHGGFED18DA,0.0,0.0,0.0,無,
白河區,土地,海豐厝段1508地號,222.67,,鄉村區,乙種建築用地,1100907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,3817,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKRHGGFED77DA,0.0,0.0,0.0,無,
後壁區,土地,長短樹段4914地號,1382.0,,特定農業區,農牧用地,1100818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,940000,680,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKRHGGFED87DA,0.0,0.0,0.0,無,
六甲區,土地,成功段925地號,29.85,都市：其他:住宅區,,,1100816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,632000,21173,,0.0,0,,RPUNMLRJRHGGFFD88DA,0.0,0.0,0.0,無,015
六甲區,土地,成功段925地號,11.2,都市：其他:住宅區,,,1100710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,237000,21161,,0.0,0,,RPXNMLRJRHGGFFD56DA,0.0,0.0,0.0,無,015
麻豆區,房地(土地+建物),臺南市麻豆區港尾里１５鄰客子寮１５１號,103.05,,鄉村區,乙種建築用地,1100810,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0970410,171.78,9,0,9,有,有,3150000,18337,,0.0,0,,RPTOMLRJRHGGFFD88DA,142.88,28.9,0.0,無,
麻豆區,土地,前後班段964-1地號,2793.23,都市：其他:農業區,,,1100820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13510000,4837,,0.0,0,,RPOOMLSJRHGGFFD48DA,0.0,0.0,0.0,無,
大內區,房地(土地+建物),臺南市大內區環湖２３號之７,122.0,,山坡地保育區,丙種建築用地,1100827,土地1建物1車位0,全,三層,透天厝,住家用,加強磚造,0840918,142.45,4,2,3,有,無,2220000,15584,,0.0,0,,RPQNMLTJRHGGFFD68DA,134.89,7.56,0.0,無,
麻豆區,土地,麻工段131地號,766.77,都市：其他:乙種工業區,,,1090818,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15150000,19758,,0.0,0,,RPTNMLTJRHGGFFD98DA,0.0,0.0,0.0,無,
麻豆區,土地,前後班段974地號,6100.01,都市：其他:農業區,,,1100626,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21350000,3500,,0.0,0,含仲介費；含地政士服務費；,RPWNMLKKRHGGFFD48DA,0.0,0.0,0.0,無,
將軍區,土地,巷口段一小段464地號,1248.0,,一般農業區,農牧用地,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1497600,1200,,0.0,0,耕作人承買,RPVOMLKLQHGGFGD58DA,0.0,0.0,0.0,無,017
將軍區,土地,巷口段一小段1519地號,1190.0,,特定農業區,農牧用地,1100819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1497600,1258,,0.0,0,畸零地或有合併使用效益；,RPWOMLKLQHGGFGD68DA,0.0,0.0,0.0,無,
佳里區,土地,佳果段512地號,147.68,都市：其他:計畫道路用地,,,1100825,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,881611,5970,,0.0,0,本案買賣移轉之印花稅、登記規費、代辦代書費皆由買方負擔。包含公共設施保留地用地；,RPXNMLLMQHGGFGD88DA,0.0,0.0,0.0,無,018
佳里區,土地,潭墘段421地號,84.49,都市：其他:計畫道路用地,,,1100825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,593542,7025,,0.0,0,本案買賣移轉之印花稅、登記規費、代辦代書費皆由買方負擔。包含公共設施保留地用地；,SPXNMLLMQHGGFGD98DA,0.0,0.0,0.0,無,
佳里區,土地,塭子內段2322地號,1040.0,,特定農業區,農牧用地,1100821,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1442,,0.0,0,,RPUNMLSJRHGGFGD09DA,0.0,0.0,0.0,無,
西港區,房地(土地+建物),臺南市西港區劉厝１之１６號,99.73,,鄉村區,乙種建築用地,1100731,土地2建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1100112,205.6,4,2,4,有,有,8950000,43531,,0.0,0,,RPPPMLSJRHGGFGD78DA,190.2,15.4,0.0,無,
佳里區,房地(土地+建物),臺南市佳里區鎮山里７鄰崇德街３８號三樓,30.8,都市：其他:住宅區,,,1100721,土地3建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840318,110.30999999999999,3,2,2,有,無,2700000,24476,,0.0,0,,RPVOMLTJRHGGFGD76DA,81.5,10.82,0.0,無,
